Model,Seed,Mult_acc_2,Mult_acc_2_weak,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,R_squre
cmcm,1111,81.72,72.46,76.11,53.97,81.76,30.58,70.05,39.65
cmcm,2222,80.85,73.5,73.4,52.22,80.34,28.49,72.43,47.8
cmcm,3333,77.85,70.19,70.21,48.94,76.91,31.78,68.78,38.4
cmcm,4444,80.56,71.22,76.21,54.84,80.66,34.14,66.76,26.65
cmcm,5555,75.44,68.12,69.44,48.55,74.24,32.03,67.96,37.16
