Model,Seed,Mult_acc_2,Mult_acc_2_weak,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,R_squre
cmcm,1111,82.3,74.53,75.44,54.93,82.03,28.1,72.24,48.48
cmcm,2222,80.75,74.33,72.44,51.84,80.23,28.18,73.12,48.41
cmcm,3333,81.62,73.91,73.6,50.87,81.5,29.85,70.92,46.22
cmcm,4444,82.59,73.91,75.82,54.16,82.42,28.43,72.84,47.1
cmcm,5555,81.33,73.91,76.02,56.77,81.21,28.59,71.65,46.54
