Model,Seed,Mult_acc_2,Mult_acc_2_weak,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,R_squre
cmcm,1111,81.43,72.05,75.82,56.0,81.43,29.54,71.43,40.19
cmcm,2222,81.04,72.88,73.69,53.38,80.65,28.07,73.04,48.15
cmcm,3333,82.01,74.12,75.92,53.48,81.93,29.77,71.06,43.58
cmcm,4444,83.27,75.57,77.47,54.74,83.28,29.26,71.7,46.55
cmcm,5555,79.98,72.67,75.05,53.09,79.81,31.43,68.53,37.68
