Model,Seed,Mult_acc_2,Mult_acc_2_weak,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,R_squre
cmcm,1111,82.4,74.95,76.31,55.61,82.02,28.78,73.23,44.89
cmcm,2222,80.75,73.08,71.08,52.51,80.11,28.03,73.96,49.41
cmcm,3333,81.04,72.46,72.73,51.26,80.82,29.9,70.36,42.68
cmcm,4444,82.88,75.16,76.79,54.84,82.64,29.21,71.58,41.75
cmcm,5555,77.18,70.39,70.79,49.52,76.57,31.78,67.87,35.31
