Model,Seed,Mult_acc_2,Mult_acc_2_weak,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,R_squre
cmcm,1111,82.4,74.12,77.66,56.77,82.37,28.96,71.48,44.41
cmcm,2222,78.82,71.43,69.83,49.32,77.86,28.64,72.15,47.2
cmcm,3333,76.89,69.36,70.31,48.74,76.28,33.38,66.14,31.91
cmcm,4444,83.95,75.98,78.14,57.35,83.9,29.79,71.34,41.59
cmcm,5555,79.5,72.46,74.27,52.61,79.17,31.57,68.87,36.67
