Model,Seed,acc,weight_F1
cmcm,1111,67.16,65.67
cmcm,2222,66.36,65.46
cmcm,3333,64.37,62.93
cmcm,4444,66.13,65.63
cmcm,5555,65.75,64.02
cmcm,1111,66.67,65.7
cmcm,2222,67.89,66.22
cmcm,3333,64.67,63.33
cmcm,4444,66.4,65.7
cmcm,5555,65.52,64.71
