Model,Seed,Mult_acc_2,Mult_acc_2_weak,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,R_squre
cmcm,1111,80.08,71.22,75.92,52.32,79.98,33.95,64.89,29.5
cmcm,2222,80.08,73.71,71.57,51.26,79.31,28.68,72.58,46.78
cmcm,3333,78.63,70.39,70.79,49.13,77.53,31.08,69.75,40.21
cmcm,4444,82.59,74.74,76.6,56.58,82.42,28.97,70.57,40.59
cmcm,5555,74.18,67.91,66.63,46.32,72.68,31.99,67.18,37.43
