Model,Seed,Mult_acc_2,Mult_acc_2_weak,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,R_squre
cmcm,1111,78.53,69.98,72.73,50.48,78.43,32.51,67.5,35.17
cmcm,2222,81.91,74.53,76.31,53.68,81.72,29.73,70.62,43.79
cmcm,3333,77.47,69.98,71.37,49.9,76.89,34.08,65.86,30.19
cmcm,4444,79.69,71.43,74.85,51.93,79.72,32.63,66.2,32.92
cmcm,5555,74.18,67.91,67.6,46.71,72.65,32.17,67.53,35.91
