Model,Seed,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr
cmcm,1111,80.17,80.21,82.01,82.0,50.29,41.84,85.04,72.51
cmcm,2222,82.65,82.67,84.76,84.81,50.29,42.13,76.2,78.21
cmcm,3333,77.84,77.89,79.12,79.19,44.02,36.59,91.54,69.75
cmcm,4444,79.3,79.26,80.64,80.46,46.36,39.21,84.47,70.54
cmcm,5555,80.47,80.21,82.77,82.57,46.36,39.21,81.89,73.41
cmcm,1111,80.17,80.21,82.01,82.0,50.29,41.84,85.04,72.51
cmcm,2222,82.65,82.67,84.76,84.81,50.29,42.13,76.2,78.21
cmcm,3333,77.84,77.89,79.12,79.19,44.02,36.59,91.54,69.75
cmcm,4444,79.3,79.26,80.64,80.46,46.36,39.21,84.47,70.54
cmcm,5555,80.47,80.21,82.77,82.57,46.36,39.21,81.89,73.41
cmcm,1111,80.47,80.45,82.77,82.54,49.42,41.84,81.19,72.37
cmcm,2222,77.99,78.04,80.64,80.73,46.36,40.23,88.82,71.0
cmcm,3333,84.4,84.35,84.3,84.04,54.08,45.34,72.64,78.64
cmcm,4444,83.24,83.24,85.52,85.41,50.0,42.13,74.55,77.8
cmcm,5555,83.82,83.85,85.52,85.5,50.44,43.0,72.53,80.8
