Model,Seed,acc,weight_F1
cmcm,1111,58.7,55.21
cmcm,2222,63.56,61.21
cmcm,3333,62.3,59.47
cmcm,4444,65.06,63.33
cmcm,5555,65.67,63.85
cmcm,1111,65.98,64.45
cmcm,2222,64.48,63.31
cmcm,3333,64.79,63.56
cmcm,4444,65.02,63.59
cmcm,5555,64.56,63.53
