Model,Seed,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr
cmcm,1111,82.8,82.74,84.3,84.2,50.58,44.02,74.62,78.22
cmcm,2222,83.67,83.71,85.98,85.98,49.13,41.69,74.59,79.24
cmcm,3333,75.95,76.01,79.57,79.52,44.02,36.01,94.71,66.08
cmcm,4444,77.84,77.9,79.12,79.1,45.48,38.63,87.05,69.93
cmcm,5555,80.61,80.5,83.54,83.42,47.52,40.52,81.19,74.54
cmcm,1111,82.8,82.74,84.3,84.2,50.58,44.02,74.62,78.22
cmcm,2222,83.67,83.71,85.98,85.98,49.13,41.69,74.59,79.24
cmcm,3333,75.95,76.01,79.57,79.52,44.02,36.01,94.71,66.08
cmcm,4444,77.84,77.9,79.12,79.1,45.48,38.63,87.05,69.93
cmcm,5555,80.61,80.5,83.54,83.42,47.52,40.52,81.19,74.54
cmcm,1111,79.59,79.65,82.93,82.79,49.13,41.55,82.55,72.49
cmcm,2222,80.9,80.88,81.55,81.48,49.56,42.13,83.77,72.11
cmcm,3333,83.38,83.36,84.45,84.26,51.75,44.17,73.24,79.12
cmcm,4444,82.36,82.33,84.3,84.19,45.92,40.38,79.41,75.89
cmcm,5555,84.4,84.43,85.37,85.23,51.75,43.88,70.06,81.72
