Model,Seed,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr
cmcm,1111,84.72,84.18,76.09,76.46,54.07,52.09,55.92,73.48
cmcm,2222,85.55,85.33,70.58,70.67,53.34,51.62,55.53,74.61
cmcm,3333,85.08,84.74,72.23,72.44,53.19,51.15,56.48,73.16
cmcm,4444,85.08,84.71,63.98,63.68,52.41,50.68,58.59,71.04
cmcm,5555,85.64,85.18,73.91,74.14,54.78,53.08,53.87,75.39
