Model,Seed,acc,weight_F1
cmcm,1111,59.85,57.8
cmcm,2222,63.56,61.57
cmcm,3333,64.37,62.61
cmcm,4444,66.25,64.86
cmcm,5555,65.63,63.71
cmcm,1111,64.94,64.13
cmcm,2222,64.18,62.43
cmcm,3333,64.06,61.96
cmcm,4444,65.52,63.99
cmcm,5555,65.75,64.46
