Model,Seed,acc,weight_F1
cmcm,1111,62.07,58.46
cmcm,2222,64.18,62.52
cmcm,3333,62.3,60.34
cmcm,4444,66.13,65.26
cmcm,5555,65.02,63.6
cmcm,1111,65.21,63.98
cmcm,2222,63.64,61.46
cmcm,3333,63.98,62.95
cmcm,4444,65.21,63.87
cmcm,5555,65.98,64.84
