Model,Seed,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr
cmcm,1111,83.24,83.15,84.6,84.49,51.02,43.88,74.35,77.34
cmcm,2222,82.94,82.93,83.99,84.0,47.67,39.21,77.58,77.78
cmcm,3333,77.84,77.9,81.4,81.39,44.61,37.76,87.56,70.2
cmcm,4444,76.97,77.02,80.34,80.14,43.59,38.05,87.02,70.53
cmcm,5555,78.13,78.19,80.03,79.95,43.88,37.46,92.64,67.48
cmcm,1111,81.92,81.96,83.08,82.77,51.6,43.59,78.95,75.68
cmcm,2222,81.49,81.52,84.45,84.49,48.25,40.38,82.19,75.52
cmcm,3333,83.97,83.95,84.76,84.61,50.87,42.86,73.74,79.84
cmcm,4444,82.07,82.12,84.91,84.83,48.98,41.98,75.88,76.76
cmcm,5555,83.97,83.94,85.37,85.28,49.85,42.86,72.11,80.81
