Model,Seed,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr
cmcm,1111,86.11,85.75,80.43,80.76,55.61,53.25,52.35,77.34
cmcm,2222,86.24,85.57,75.4,75.69,57.03,54.99,51.58,77.7
cmcm,3333,86.43,86.17,71.52,71.55,56.51,54.65,52.2,77.26
cmcm,4444,85.98,85.77,75.23,75.49,56.34,54.13,51.63,77.52
cmcm,5555,86.86,86.68,74.0,74.23,57.76,55.57,50.66,78.78
