Model,Seed,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr
cmcm,1111,81.92,81.94,83.08,83.12,49.42,41.4,80.31,74.58
cmcm,2222,81.63,81.64,83.69,83.68,54.52,47.23,72.69,78.46
cmcm,3333,79.3,79.24,81.55,81.45,44.75,37.46,85.8,71.11
cmcm,4444,75.22,75.28,77.44,77.56,45.04,37.32,95.6,65.88
cmcm,5555,80.61,80.54,82.47,82.25,47.67,40.38,80.11,74.11
cmcm,1111,81.05,81.05,81.71,81.31,50.15,42.42,81.73,73.71
cmcm,2222,81.49,81.47,84.45,84.42,50.0,42.27,80.26,74.12
cmcm,3333,83.82,83.84,85.06,84.85,51.17,42.57,71.04,79.86
cmcm,4444,83.53,83.55,85.98,85.94,44.61,38.78,76.91,78.42
cmcm,5555,83.53,83.43,84.91,84.72,50.29,42.86,71.85,80.42
