Model,Seed,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr
cmcm,1111,82.51,82.45,84.15,84.09,48.25,41.4,79.81,75.93
cmcm,2222,81.78,81.78,84.6,84.63,51.31,43.0,79.39,75.63
cmcm,3333,78.13,78.18,81.71,81.73,45.77,38.92,87.94,69.68
cmcm,4444,77.11,77.16,78.51,78.58,46.65,38.92,92.9,66.98
cmcm,5555,81.2,81.14,83.38,83.29,47.23,38.34,80.72,73.73
cmcm,1111,74.93,74.76,82.77,82.7,47.52,39.36,86.43,71.99
cmcm,2222,81.49,81.47,83.23,83.18,48.54,41.25,81.79,74.55
cmcm,3333,80.9,80.96,83.54,83.61,46.65,38.63,83.38,76.21
cmcm,4444,82.8,82.83,84.6,84.56,50.0,43.29,79.05,76.14
cmcm,5555,82.65,82.7,85.06,85.0,50.0,42.13,73.07,80.8
