Model,Seed,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr
cmcm,1111,83.67,83.55,84.76,84.57,50.44,42.57,75.77,76.86
cmcm,2222,84.26,84.29,85.67,85.68,52.33,43.88,75.95,77.1
cmcm,3333,79.88,79.87,81.71,81.68,46.65,39.07,83.66,72.16
cmcm,4444,78.28,78.3,82.01,82.0,43.44,38.19,89.05,69.49
cmcm,5555,78.28,78.07,80.95,80.8,44.75,36.73,84.08,72.0
cmcm,1111,81.49,81.54,83.38,83.23,51.6,43.88,79.68,74.96
cmcm,2222,80.03,79.89,82.16,81.97,47.52,41.11,85.61,70.09
cmcm,3333,83.97,83.94,84.6,84.42,52.62,44.61,73.15,78.15
cmcm,4444,82.51,82.53,83.99,83.83,49.42,42.13,78.58,75.71
cmcm,5555,83.67,83.52,84.3,84.09,53.64,45.04,69.98,81.3
