Model,Seed,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr
cmcm,1111,85.04,84.83,72.34,72.52,53.72,51.92,55.49,75.46
cmcm,2222,85.83,85.54,71.99,72.14,55.87,53.79,53.23,76.5
cmcm,3333,85.36,85.1,77.16,77.5,54.54,52.54,54.14,75.91
cmcm,4444,85.62,85.23,74.66,74.93,54.6,52.07,55.25,75.22
cmcm,5555,86.41,86.2,71.99,72.09,56.04,54.28,52.62,77.09
