Model,Seed,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr
cmcm,1111,82.36,82.38,84.6,84.59,52.19,43.73,78.6,75.53
cmcm,2222,82.36,82.38,84.3,84.31,45.77,38.34,79.17,77.04
cmcm,3333,79.74,79.49,82.01,81.62,46.5,38.92,81.82,72.94
cmcm,4444,78.13,78.19,81.4,81.44,43.44,36.73,90.43,69.26
cmcm,5555,80.47,80.5,82.01,82.1,45.04,37.61,88.62,70.37
cmcm,1111,81.49,81.54,83.84,83.65,50.15,42.57,80.22,74.47
cmcm,2222,81.49,81.52,84.6,84.51,45.48,38.78,83.04,75.77
cmcm,3333,84.26,84.25,83.84,83.57,51.31,42.86,73.11,79.08
cmcm,4444,83.09,83.02,82.93,82.64,51.17,43.59,76.02,76.5
cmcm,5555,84.55,84.53,86.28,86.16,50.58,43.44,71.66,80.61
