Model,Seed,acc,weight_F1
cmcm,1111,59.96,56.36
cmcm,2222,63.14,61.51
cmcm,3333,63.37,60.88
cmcm,4444,65.13,64.22
cmcm,5555,65.82,64.44
cmcm,1111,64.25,62.87
cmcm,2222,65.13,62.75
cmcm,3333,64.33,62.53
cmcm,4444,63.1,62.11
cmcm,5555,66.63,65.04
