Model,Seed,acc,weight_F1
cmcm,1111,72.27,72.19
cmcm,2222,69.85,69.34
cmcm,3333,71.4,71.46
cmcm,4444,73.03,72.93
cmcm,5555,71.33,71.15
cmcm,1111,72.27,72.19
cmcm,2222,69.85,69.34
cmcm,3333,71.4,71.46
cmcm,4444,73.03,72.93
cmcm,5555,71.33,71.15
