Model,Seed,Mult_acc_2,Mult_acc_2_weak,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,R_squre
cmcm,1111,75.73,66.05,68.57,47.58,75.69,37.0,57.35,15.36
cmcm,2222,77.47,71.43,69.25,47.2,77.45,37.09,57.7,17.8
cmcm,3333,78.05,72.05,70.21,47.49,78.1,37.21,57.99,19.23
cmcm,4444,78.24,72.26,69.73,47.29,78.06,35.26,61.2,27.0
cmcm,5555,76.79,68.94,71.47,50.68,76.9,36.8,56.98,14.6
