Model,Seed,acc,weight_F1
cmcm,1111,60.04,56.78
cmcm,2222,64.56,63.07
cmcm,3333,61.53,59.17
cmcm,4444,65.13,64.38
cmcm,5555,65.25,63.39
cmcm,1111,65.56,64.22
cmcm,2222,65.48,64.29
cmcm,3333,62.64,62.24
cmcm,4444,64.64,62.45
cmcm,5555,65.29,63.37
