Model,Seed,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr
cmcm,1111,85.81,85.46,71.13,71.16,54.28,52.54,54.21,75.44
cmcm,2222,86.41,86.24,70.78,70.72,57.18,54.63,52.13,77.43
cmcm,3333,85.79,85.63,74.85,75.12,55.25,53.4,53.08,76.66
cmcm,4444,86.05,85.6,75.43,75.71,56.45,54.09,52.77,76.59
cmcm,5555,86.56,86.27,71.82,71.88,57.18,55.18,51.91,77.5
