Model,Seed,acc,weight_F1
cmcm,1111,58.97,55.57
cmcm,2222,64.64,62.8
cmcm,3333,59.85,55.92
cmcm,4444,65.71,64.27
cmcm,5555,64.94,64.3
cmcm,1111,64.98,63.45
cmcm,2222,65.75,63.96
cmcm,3333,64.29,62.57
cmcm,4444,64.02,62.18
cmcm,5555,64.41,63.37
