Model,Seed,acc,weight_F1
cmcm,1111,57.01,53.96
cmcm,2222,63.72,62.31
cmcm,3333,62.91,60.43
cmcm,4444,66.36,64.15
cmcm,5555,64.37,63.67
cmcm,1111,65.13,64.05
cmcm,2222,65.06,63.06
cmcm,3333,64.14,62.99
cmcm,4444,65.02,63.54
cmcm,5555,66.13,64.55
