Model,Seed,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr
cmcm,1111,84.78,84.11,80.1,80.43,54.84,53.29,53.83,74.79
cmcm,2222,84.35,83.7,76.72,77.1,53.64,51.92,55.95,72.19
cmcm,3333,81.91,81.15,71.11,71.4,50.78,49.22,61.74,65.78
cmcm,4444,84.89,84.18,79.97,80.3,54.67,53.4,53.19,75.39
cmcm,5555,84.67,84.09,78.4,78.76,54.17,52.29,54.2,74.4
